id,completion
puil_099,"Sim. O relator pode conceder liminar para suspender processos com a mesma controvérsia (art. 14, §5º)."
puil_053,"Admite, por decisão do relator, quando houver plausibilidade e risco de dano; a medida evita decisões conflitantes enquanto se uniformiza a tese."
puil_086,"PUIL uniformiza tese nos JEFs; o REsp, de competência do STJ via CF/Regimento, trata de violação de lei federal por tribunal – regimes distintos."
puil_013,"O PUIL busca uniformizar a interpretação de lei federal entre Turmas Recursais (ênfase em direito material); o recurso extraordinário segue seu próprio regime e pode ser interposto ao STF, observando-se também as regras especiais previstas para os JEFs."
puil_037,Não. O foco é a interpretação de lei federal (tese jurídica). Matéria fática ou probatória não é objeto de uniformização.
puil_024,A parte interessada pode suscitar o PUIL ao STJ quando a decisão da TNU contrariar súmula ou jurisprudência dominante do STJ.
puil_040,"Uniformizar a interpretação de lei federal nos JEFs, garantindo que casos semelhantes recebam o mesmo tratamento jurídico em todo o país."
puil_041,É o Pedido de Uniformização de Interpretação de Lei; busca fixar uma interpretação uniforme de lei federal para casos dos Juizados Especiais quando há divergência entre Turmas Recursais ou contrariedade à orientação do STJ.
puil_019,"Se a Turma Recursal da 1ª Região reconhece determinado índice de correção para benefício previdenciário e a Turma da 2ª Região nega por entender aplicável outro índice, há divergência de direito material sobre lei federal; cabe PUIL para uniformizar o tema."
puil_067,Pode ensejar consolidação da orientação na forma de súmula quando o STJ fixa entendimento reiterado sobre a questão jurídica.
puil_062,"IRDR é instaurado em TRFs/TJs para fixar tese em casos repetitivos; PUIL é via dos Juizados para uniformizar interpretação de lei federal, com hipóteses específicas de deslocamento ao STJ."
puil_061,PUIL lida com interpretação de lei federal nos Juizados e pode chegar ao STJ; o RE discute violação direta à Constituição e é dirigido ao STF.
puil_008,"Sim. Presente a plausibilidade do direito e o risco de dano de difícil reparação, o relator pode conceder liminar para suspender processos com a mesma controvérsia."
puil_035,"Sim. Publica-se edital para ciência; interessados podem se manifestar em 30 dias e, a critério da presidência, pode haver sustentação oral."
puil_100,"TRFs, STJ e STF expedirão normas regulamentando órgãos e procedimentos do PUIL e do RE (art. 14, §10)."
puil_047,Use PUIL para uniformizar lei federal em casos de Juizados; use Reclamação para preservar a competência do tribunal ou garantir autoridade de suas decisões/precedentes.
puil_003,Quando houver divergência entre decisões de Turmas Recursais sobre questões de direito material na interpretação de lei federal.
puil_052,"Indicar decisões conflitantes, demonstrar identidade da questão jurídica e do dispositivo legal, e fazer cotejo analítico das interpretações divergentes."
puil_017,"Sim. O pedido deve ser incluído com preferência sobre os demais feitos, ressalvados os processos com réu preso, habeas corpus e mandados de segurança."
puil_039,"Apresente síntese do caso, identifique a divergência com cotejo analítico das decisões, destaque o dispositivo legal, demonstre relevância e peça a fixação da tese."
puil_059,"Contextualize o caso, descreva a questão jurídica, apresente o cotejo das decisões divergentes, destaque os dispositivos legais e requeira a fixação da tese com eventual suspensão de feitos."
puil_069,"A classe é 'Pedido de Uniformização de Interpretação de Lei (PUIL)', prevista expressamente no Regimento Interno do STJ."
puil_023,"Sim. O PUIL visa uniformizar a interpretação de lei federal sobre o mérito (direito material), não questões meramente processuais."
puil_063,Não. O IAC fixa tese em casos relevantes sem repetitividade; o PUIL trata de divergência entre órgãos dos Juizados sobre interpretação de lei federal.
puil_025,"O MP é ouvido em 5 dias; interessados não partes podem se manifestar em até 30 dias, conforme edital; o relator pode requisitar informações à Turma Recursal."
puil_006,"A Turma de Uniformização (TNU), integrada por juízes de Turmas Recursais, sob a presidência do Coordenador da Justiça Federal."
puil_007,Quando a orientação acolhida pela Turma de Uniformização contrariar súmula ou jurisprudência dominante do STJ; a parte pode provocar o STJ para dirimir a divergência.
puil_068,"Sim, para suspender processos semelhantes, justificando plausibilidade do direito e risco de dano pela multiplicidade de decisões conflitantes."
puil_083,"Nas causas da Lei 10.259 não há reexame necessário (art. 13), o que valoriza a fixação célere de tese via PUIL para orientar casos repetidos."
puil_020,"Assegurar tratamento isonômico e previsível, eliminando divergências de interpretação de lei federal entre Turmas Recursais, com possibilidade de intervenção da Turma de Uniformização e, em certos casos, do STJ."
puil_080,"O MP é ouvido em 5 dias e interessados não partes podem se manifestar em 30 dias (art. 14, §7º)."
puil_044,"Direito material. O instrumento visa uniformizar a interpretação de lei federal quanto ao mérito da causa, não questões meramente processuais."
puil_091,CC decide qual órgão é competente; PUIL uniformiza interpretação de lei federal em direito material (art. 14).
puil_021,É o Pedido de Uniformização de Interpretação de Lei nos JEFs; ex.: Turmas Recursais de regiões diferentes aplicam índices de correção distintos a benefício previdenciário — usa-se o PUIL para uniformizar.
puil_001,"É o Pedido de Uniformização de Interpretação de Lei, utilizado para resolver divergência na interpretação de lei federal entre Turmas Recursais dos Juizados Especiais Federais (JEFs)."
puil_096,"Sim. A lei autoriza reunião por via eletrônica de juízes domiciliados em cidades diversas (art. 14, §3º)."
puil_058,"A concessão de efeito suspensivo/sobrestamento de feitos semelhantes, a fixação clara da tese jurídica e a devolução para juízo de retratação nos processos de origem."
puil_094,EREsp resolvem divergência interna no STJ; PUIL resolve divergência entre Turmas Recursais/TNU no sistema dos JEFs (art. 14).
puil_054,"Sim. Pode haver publicação para ciência a interessados, com prazo para manifestação e, a critério da Presidência, admissão de sustentações orais."
puil_090,MS protege direito líquido e certo contra ato ilegal; PUIL uniformiza tese jurídica no sistema dos JEFs (art. 14) – naturezas distintas.
puil_026,"Pode, por decisão do relator, se houver plausibilidade do direito e risco de dano de difícil reparação, para evitar decisões conflitantes."
puil_072,O art. 14 disciplina o Pedido de Uniformização de Interpretação de Lei (PUIL) no sistema dos Juizados Especiais Federais.
puil_085,"Aplica-se subsidiariamente a Lei 9.099/1995 aos JEFs no que não conflitar (art. 1º), mantendo o rito simples e célere que contextualiza o uso do PUIL."
puil_078,"Sim. Pode conceder liminar para suspender processos com a mesma controvérsia, havendo plausibilidade e risco de dano (art. 14, §5º)."
puil_065,O AREsp busca destrancar um REsp inadmitido na origem; o PUIL visa uniformizar a interpretação de lei federal entre órgãos dos Juizados.
puil_030,O PUIL uniformiza lei federal entre Turmas Recursais/TNU e pode chegar ao STJ; o Recurso Extraordinário ao STF discute violação direta à Constituição.
puil_028,Pode reunir-se eletronicamente; sua finalidade é uniformizar a interpretação de lei federal diante de divergências entre Turmas Recursais.
puil_089,PUIL para divergência de tese nos JEFs (art. 14); Reclamação para preservar competência e autoridade de precedentes do tribunal – finalidades diversas.
puil_098,Define competência dos JEFs até 60 SM e exclusões (art. 3º); a grande repetição de temas incentiva uniformização via PUIL para isonomia e celeridade.
puil_005,"A própria Região, em reunião conjunta das Turmas em conflito, presidida pelo Juiz Coordenador."
puil_055,"Não. O foco é a tese jurídica (interpretação de lei federal), não a reavaliação do conjunto fático-probatório."
puil_076,"A Turma de Uniformização (TNU), integrada por juízes de Turmas Recursais (art. 14, §2º)."
puil_012,"Tecnicamente é um incidente/pedido de uniformização previsto em lei própria dos JEFs; ele convive com outros recursos (como o extraordinário), mas tem rito e finalidade específicos."
puil_070,"Após a tese ser firmada, o órgão que proferiu a decisão pode ajustar o acórdão ao entendimento uniformizado, evitando novos recursos e promovendo isonomia."
puil_087,PUIL cuida de lei federal e divergência entre Turmas/TNU; o RE cuida de violação direta à Constituição e vai ao STF (art. 15 remete ao rito do art. 14).
puil_014,"Sim. O acórdão do julgamento do incidente no STJ pode conter súmula sobre a questão controvertida, reforçando a uniformização."
puil_018,"Sim. É prevista publicação de edital para ciência a interessados, que podem se manifestar no prazo de 30 dias; o Presidente da Seção pode permitir sustentação oral de terceiros interessados."
puil_029,"É um incidente de uniformização. Na prática, busca-se a fixação de tese para orientar casos análogos, garantindo isonomia e previsibilidade."
puil_032,Sim. A TNU realiza o juízo prévio de admissibilidade do pedido que pode ser encaminhado ao STJ nas hipóteses legais.
puil_036,"Indicar decisões conflitantes, transcrever ou anexar trechos relevantes e apontar o mesmo dispositivo legal interpretado de modo distinto."
puil_095,"Sim, podem se manifestar em 30 dias, após provocação/informações, a critério do relator (art. 14, §7º)."
puil_004,"Direito material. O instrumento serve para uniformizar a interpretação de lei federal em matéria de mérito, não questões meramente processuais."
puil_015,"Sim. O incidente dirigido ao STJ é suscitado perante a Turma Nacional de Uniformização, cujo Presidente faz o juízo prévio de admissibilidade; se admitido (ou houver requerimento), distribui-se no STJ."
puil_082,"O RE, no âmbito dos JEFs, é processado e julgado segundo os §§4º a 9º do art. 14, além do Regimento (art. 15)."
