id,prompt
puil_065,PUIL x Agravo em Recurso Especial (AREsp): qual a finalidade de cada um?
puil_030,Qual a diferença entre PUIL e Recurso Extraordinário nos JEFs?
puil_028,Como se reúne a Turma de Uniformização e qual a finalidade?
puil_089,PUIL x Reclamação: quando usar cada via?
puil_098,Como a Lei 10.259 organiza competências cíveis e por que isso motiva PUIL?
puil_005,Quem julga a divergência entre Turmas Recursais da MESMA Região Federal?
puil_055,PUIL pode examinar fatos e provas do caso concreto?
puil_076,Quem decide o PUIL quando a divergência é entre Regiões diferentes?
puil_012,PUIL é recurso?
puil_070,PUIL e juízo de retratação: o que significa para o processo de origem?
puil_087,PUIL x Recurso Extraordinário (RE): qual a distinção?
puil_014,A decisão em PUIL pode gerar enunciado/súmula?
puil_018,Há participação de terceiros interessados (amicus curiae) no PUIL?
puil_029,PUIL é recurso ou incidente? Qual a implicação prática?
puil_032,Existe juízo de admissibilidade antes do STJ? Quem realiza?
puil_036,Quais requisitos mínimos para demonstrar a divergência no PUIL?
puil_095,A Lei 10.259 prevê participação de interessados não partes no PUIL?
puil_004,PUIL trata de direito material ou processual?
puil_015,Existe juízo de admissibilidade antes do PUIL chegar ao STJ?
puil_082,Qual a relação do Recurso Extraordinário com o PUIL na Lei 10.259?
